User ID #	Item Number	Item Type	Item Type Modifier	Category	Category Item #	Description	Nearby
020	087	BOXES	11	Furniture	048	One white and gold cardboard box, one colorful cardboard box that reads "Waterlily Garden"	DESK
020	088	FOOD		Furniture	049	One avocado, one box of high-CBD marijuana chocolate	DESK
020	089	BAGS	05	Furniture	050	Purple and white makeup bag, filled with makeup and makeup brushes	DESK
020	090	CONTAINERS		Furniture	051	Three small metal containers containing safety pins, earrings, necklaces, and thumbtacks	DESK
020	091	MIRRORS		Furniture	052	Baby blue painted old wooden framed mirror with one crack from top to bottom near lefthand side; attached is an SF MoMA ticket, a postcard, and a calendar opened to February	DESK
020	092	DOORS	01	On the Walls	001	White painted wooden entry door with plain gold knob	YOGA MAT, BUILT-IN SHELF, DESK
020	093	PAPERS	08	On the Walls	002	Three pieces of yellow steno paper filled top to bottom with writing, taped to inside of door cascading down	ENTRY DOOR
020	094	DOORS	02	On the Walls	003	White painted wooden closet door with what appears to be a brand new gold key-lock knob; nearly shut if not for an item having caught it and left it very slightly open	BUILT-IN SHELF, GAP BAG, DRESSER
020	095	CLOTHING	07	On the Walls	004	Medium brown leather belt (hanging from screw protruding from door)	CLOSET DOOR
020	096	CLOTHING	08	On the Walls	005	One red jacket, one light blue scarf (protruding from nearly-shut door)	CLOSET DOOR
020	097	ART	02	On the Walls	006	Large wooden object covered in worn black canvas with many uniformly-sized holes drilled in	CLOSET DOOR, DRESSER, BATHROOM DOOR
020	098	DOORS	03	On the Walls	007	White painted wooden bathroom door with what appears to be a brand new gold key-lock knob	DRESSER, FILE CABINET
020	099	ART	03	On the Walls	008	Approx 3.5' long dark tree branch (sakura (?))	BATHROOM DOOR, WINDOWS
020	100	WINDOWS		On the Walls	009	Two side-by-side windows with white sheer curtains (fully closed)	BED, FILE CABINET
020	101	ART	04	On the Walls	010	Drawing of a shirtless man in charcoal on white cloth (nailed to window frame), small mosaic cat sculpture, copper framed art (partially obscructed by curtain)	WINDOWS
020	102	MISC	05	On the Walls	011	Porcelain porcupine container, upside-down mason jar lid, wooden clothespin, business card for a "possibilitist", shallow green porcelain pot with dirt remnants in it	WINDOWS
020	103	ART	05	On the Walls	012	Black and white photo of a canopy-like structure (nailed to wall)	BED
020	104	ART	06	On the Walls	013	Large painting (similar in feel to "The Kiss" (by Klimt), if it had been done in the 90s), hung by blue yarn nailed into wall, then clipped to paiting by black paper clips	HOME DEPOT BOXES
020	105	WALLS		On the Walls	014	Painted medium green	n/a
