User ID #	Item #	Item Type	Item Type Modifier	Category	Category Item #	Description	Nearby	
044	053	PAPERS	05	Furniture	022	Translucent red and white plastic expanding folder containing papers, spiral-bound notebook (contains handwritten poems?), a birthday card, folded stacks of paper, 2016 tax forms, wadded tissues, flyer for "National Abortio__ Bowl-A-Thon", folded sheet music (blank), blue paper from the board game "Life", two stacks of varied business cards (one approx 2" tall, one approx 3" tall)	TALL SHELF	
044	054	BOOKS	02	Furniture	023	Scattered: "Deepest Thoughts", "Shantaram", "Unaccustomed Earth", Railsea", "A Confederacy of Dunces", "Room", "Howl", others	TALL SHELF	
044	055	BOXES	04	Furniture	024	Opened box of kleenex, two boxes of playing cards	TALL SHELF	
044	056	PERSONAL ITEMS	04	Furniture	025	Contact solution (?), Dove Men + Care Clean Comfort Non-irritant Deodorant, Conair hair brush, one Trojan Magnum, small bottle of baby powder, Dove Men + Care Clean Comfort 1/4 Moisturizer Deodorant, Neova DNA total repair, Neutrogena Age Shield Face oil-free sun lotion, yellow tube of chapstick	TALL SHELF	
044	057	ELECTRONICS	02	Furniture	026	Small black motion light with black plastic strap for attaching onto other objects, grey USB cord	TALL SHELF	
044	058	MISC	05	Furniture	027	Wooden egg, unidentified grey cloth, empty ziploc bags, pieces of clothing snaps (in small baggie), large silver key, elephant candle, two novelty rubber duckies (one a tiger, one a leopard), scattered change and $1 bills, opened and emptied medicine tabs, single yellow and blue foam earplug, one safety pin	TALL SHELF	
044	059	DOORS	01	On the Walls	001	Entry door, white painted wood	FURNACE, YOGA MAT	
044	060	MISC	06	On the Walls	002	Nub of what formerly was a door stop (near baseboard)	ENTRY DOOR, CALIFORNIA POSTER	
044	061	POSTERS	01	On the Walls	003	Blue poster that reads "I Love You California" and has a bear hugging the state of California; attached to wall with single nail, such that edges of paper are curling inward	ENTRY DOOR, FURNACE, WINDOW	
044	062	WINDOWS		On the Walls	004	Wide window with white wooden slat blinds (lowered and closed)	DESK, CALIFORNIA POSTER	
044	063	POSTERS	02	On the Walls	005	Map of San Francisco as of 1909	SMALL SHELF, DESK	
044	064	POSTERS	03	On the Walls	006	Features Golden Gate bridge as though it were an old advertisement, reads ( in red banner across top): "San Francisco's World Famous Bridges"	BED, TALL SHELF	
044	065	DOORS	02	On the Walls	007	Closet doors, mirrored and sliding variety, one side open	FLOOR LAMP, TALL SHELF, HELLO POSTER	
044	066	DRAWERS		On the Walls	008	Black dresser-drawers with 4 drawers, 2 drawers fully open; clothing piled on top of drawers and visible inside of drawers (mostly blacks, browns, blues), plus a pulled-off price tag that reads "Nordstrom's 2 for $30"	CLOSET	
044	067	SHELVES	04	On the Walls	009	Closet has top shelf containing shoeboxes, Q-tips, folded sheets and towels, a black hat, other misc items	CLOSET	
044	068	CLOTHING	08	On the Walls	010	One hanging blue button-down shirt, a few empty wooden hangers	CLOSET	
044	069	ART		On the Walls	011	Japanese wave postcard, abstract art postcard, red map of San Francisco on white background, blackboard that reads "Hello." in white, artistic rendition of Golden Gate bridge: all nailed to wall, Golden Gate Bridge nails have a yellow pencil resting across them as though it were the top of a frame	CLOSET, MAN	
044	070	HUMANS		On the Walls	012	Man, using computer, back propped against wall (eating macaroons from plastic container with blue ribbon wrapped around it)	CLOSET, YOGA MAT, MAROON SHORTS	
044	071	WALLS		On the Walls	013	Off-white	N/A	
